gene	data size	good data	mbio Call	ctrl mean	exp mean	log2FC	logFC_5_neg	logFC_10_neg	logFC_5_pos	logFC_10_pos	logFC_5_str	logFC_10_str	obs-value	norm-obs	p-value	adj. pval
RVBD1051c:RVBD1051c	6	6	NE	1292.38	1411.44	0.127	0.159	0.127	0.075	0.127	0.075	0.127	57.27	0.04910503	0.8401500000	1.0000000000
RVBD1052:RVBD1052	7	7	NE	1581.26	1895.03	0.261	0.138	0.261	0.295	0.261	0.138	0.261	160.15	0.09821806	0.3132500000	1.0000000000
RVBD1053c:RVBD1053c	5	5	NE	1106.88	1162.59	0.071	0.071	0.071	0.071	0.071	0.071	0.071	-35.96	-0.04181524	0.7380500000	1.0000000000
RVBD1054:RVBD1054	5	5	NE	1700.55	1653.65	-0.040	-0.040	-0.040	-0.040	-0.040	-0.040	-0.040	-1.68	-0.00155148	1.0000000000	1.0000000000
RVBD1055:RVBD1055	2	2	NE	627.81	594.08	-0.080	-0.080	-0.080	-0.080	-0.080	-0.080	-0.080	-120.01	-0.68676819	0.3051500000	1.0000000000
RVBD1056:RVBD1056	6	6	NE	993.30	1039.04	0.065	-0.010	0.065	0.224	0.065	-0.010	0.065	47.00	0.03865303	0.3423000000	1.0000000000
RVBD1057:RVBD1057	5	5	NE	2107.99	2018.63	-0.062	-0.062	-0.062	-0.062	-0.062	-0.062	-0.062	-261.80	-0.32706732	0.0648000000	1.0000000000
RVBD1058:fadD14	13	13	NE	1051.97	1098.26	0.062	-0.091	-0.026	0.025	0.101	0.113	0.013	119.64	0.14682859	0.5765500000	1.0000000000
RVBD1059:RVBD1059	8	8	NE	1244.16	1240.33	-0.004	0.072	-0.004	0.003	-0.004	0.016	-0.004	64.79	0.07102869	0.8732500000	1.0000000000
RVBD1060:RVBD1060	8	8	NE	1138.11	936.79	-0.281	-0.368	-0.281	0.098	-0.281	-0.043	-0.281	0.71	0.00061367	1.0000000000	1.0000000000
RVBD1061:RVBD1061	6	6	NE	1434.26	1437.43	0.003	0.066	0.003	0.066	0.003	0.141	0.003	163.66	0.11771231	0.6698000000	1.0000000000
RVBD1062:RVBD1062	6	6	NE	1654.61	1796.39	0.119	0.018	0.119	0.098	0.119	0.098	0.119	10.65	0.01731272	0.8966000000	1.0000000000
RVBD1063c:RVBD1063c	6	6	NE	2769.62	2577.88	-0.104	-0.322	-0.104	-0.076	-0.104	-0.076	-0.104	81.20	0.03032113	0.8677000000	1.0000000000
RVBD1064c:lpqV	4	4	NE	1167.28	1106.89	-0.077	-0.077	-0.077	-0.077	-0.077	-0.077	-0.077	27.72	0.02786769	0.7328500000	1.0000000000
RVBD1065:RVBD1065	7	7	NE	1520.44	1771.21	0.220	-0.158	0.220	0.341	0.220	-0.052	0.220	-36.76	-0.03344479	1.0000000000	1.0000000000
RVBD1066:RVBD1066	5	5	NE	967.00	1100.45	0.187	0.187	0.187	0.187	0.187	0.187	0.187	119.92	0.18343227	0.6203000000	1.0000000000
RVBD1067c:PE-PGRS19	6	6	NE	850.52	835.57	-0.026	-0.071	-0.026	0.011	-0.026	-0.071	-0.026	38.93	0.08705653	0.7333000000	1.0000000000
RVBD1068c:PE-PGRS20	5	5	NE	1399.93	1308.64	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097	47.63	0.06047468	1.0000000000	1.0000000000
RVBD1069c:RVBD1069c	11	11	NE	1471.79	1593.55	0.115	0.077	0.011	0.085	0.054	0.085	0.080	-113.88	-0.12969943	0.3341500000	1.0000000000
RVBD1070c:echA8	8	8	NE	1592.52	1480.60	-0.105	-0.090	-0.105	-0.012	-0.105	-0.106	-0.105	62.27	0.05675056	0.8473500000	1.0000000000
RVBD1071c:echA9	10	9	NE	1991.03	1914.51	-0.057	-0.266	-0.057	-0.079	-0.057	-0.119	-0.057	24.52	0.01321913	0.8672500000	1.0000000000
RVBD1072:RVBD1072	14	14	NE	1124.96	1041.05	-0.112	-0.391	-0.026	0.115	-0.158	-0.120	-0.158	25.35	0.02082804	0.8679000000	1.0000000000
RVBD1073:RVBD1073	8	8	GA	2685.45	2699.31	0.007	0.052	0.007	0.079	0.007	0.198	0.007	-84.16	-0.02948861	0.8882500000	1.0000000000
RVBD1074c:fadA3	9	9	GA	1779.22	1949.22	0.132	-0.084	0.132	0.235	0.132	0.183	0.132	0.17	0.00008232	1.0000000000	1.0000000000
RVBD1075c:RVBD1075c	6	6	NE	523.48	530.29	0.019	0.202	0.019	0.088	0.019	0.202	0.019	-10.78	-0.02233804	0.9647500000	1.0000000000
RVBD1076:lipU	10	10	NE	1198.99	1203.24	0.005	-0.027	0.005	0.047	0.005	0.016	0.005	110.13	0.10871862	0.6859000000	1.0000000000
RVBD1077:cbs	6	6	NE	963.96	1174.80	0.285	0.217	0.285	0.217	0.285	0.217	0.285	83.75	0.14001517	0.5609500000	1.0000000000
RVBD1078:pra	7	7	NE	2971.42	3134.95	0.077	0.026	0.077	0.077	0.077	0.077	0.077	5.95	0.00222474	0.8451000000	1.0000000000
RVBD1079:metB	7	6	NE	1724.75	1632.80	-0.079	-0.267	-0.079	-0.267	-0.079	-0.267	-0.079	34.99	0.02477995	0.9706500000	1.0000000000
RVBD1080c:greA	5	5	NE	894.02	957.69	0.099	0.099	0.099	0.099	0.099	0.099	0.099	57.49	0.17307561	0.7469000000	1.0000000000
RVBD1081c:RVBD1081c	6	6	NE	1327.10	1195.26	-0.151	-0.059	-0.151	-0.059	-0.151	-0.217	-0.151	-98.01	-0.11402592	0.6326000000	1.0000000000
RVBD1082:mca	7	7	NE	541.28	516.83	-0.067	-0.159	-0.067	-0.067	-0.067	-0.159	-0.067	-14.08	-0.03700044	0.8438500000	1.0000000000
RVBD1083:RVBD1083	6	6	NE	1558.80	1281.16	-0.283	-0.187	-0.283	-0.187	-0.283	-0.187	-0.283	-11.46	-0.00943810	0.9740000000	1.0000000000
RVBD1084:RVBD1084	19	19	NE	1252.84	1442.81	0.204	-0.107	-0.057	0.275	0.253	-0.095	0.214	-21.62	-0.01631487	0.8637500000	1.0000000000
RVBD1085c:RVBD1085c	10	10	NE	1339.24	1604.45	0.261	-0.064	0.261	0.365	0.261	0.365	0.261	79.68	0.07201141	0.5788500000	1.0000000000
RVBD1086:RVBD1086	6	6	NE	1147.98	978.56	-0.230	-0.216	-0.230	-0.216	-0.230	-0.216	-0.230	-82.58	-0.10772684	0.1750000000	1.0000000000
RVBD1087:PE-PGRS21	6	6	NE	1533.24	1563.16	0.028	0.025	0.028	-0.001	0.028	0.025	0.028	-22.61	-0.03563426	0.8708000000	1.0000000000
RVBD1087A:RVBD1087A	6	6	GA	995.52	1088.15	0.128	0.048	0.128	0.048	0.128	0.048	0.128	136.80	0.23141587	0.7001000000	1.0000000000
RVBD1088:PE9	4	4	NE	3243.32	3152.85	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041	-235.28	-0.14626216	0.6420500000	1.0000000000
RVBD1089:PE10	2	2	NE	2536.10	2816.82	0.151	0.151	0.151	0.151	0.151	0.151	0.151	85.58	0.04538915	0.3964500000	1.0000000000
RVBD1089A:celA2a	2	2	NE	2258.76	2273.16	0.009	0.009	0.009	0.009	0.009	0.009	0.009	183.05	0.10351952	0.7016000000	1.0000000000
RVBD1090:celA2b	5	5	NE	1432.30	1362.18	-0.072	-0.072	-0.072	-0.072	-0.072	-0.072	-0.072	-79.13	-0.06230223	0.7651500000	1.0000000000
RVBD1091:PE-PGRS22	5	5	NE	2299.67	2099.78	-0.131	-0.131	-0.131	-0.131	-0.131	-0.131	-0.131	-47.73	-0.01991346	0.7446000000	1.0000000000
RVBD1092c:coaA	88	88	ES	1004.59	1037.99	0.047	-0.403	-0.302	0.535	0.404	0.057	-0.191	24.70	0.02652176	0.8632500000	1.0000000000
RVBD1093:glyA1	123	123	ES	1051.97	767.34	-0.455	-0.899	-0.943	0.218	0.143	-0.847	-0.939	-184.31	-0.18658310	0.0001000000	0.0070483333
RVBD1094:desA2	70	68	ES	411.11	350.44	-0.230	-0.807	-0.695	0.176	0.129	-0.454	-0.559	-72.56	-0.19646190	0.0112000000	0.3244164384
RVBD1095:phoH2	9	9	NE	960.92	1017.17	0.082	-0.055	0.082	0.043	0.082	0.150	0.082	-23.22	-0.01904780	0.7668000000	1.0000000000
RVBD1096:RVBD1096	15	15	NE	1323.06	1272.95	-0.056	-0.070	-0.053	0.228	0.194	0.169	0.101	83.76	0.07828321	0.6582000000	1.0000000000
RVBD1097c:RVBD1097c	10	10	NE	1393.90	1402.02	0.008	-0.082	0.008	0.050	0.008	0.050	0.008	99.21	0.08040345	0.4282500000	1.0000000000
RVBD1098c:fum	132	131	ES	985.25	1064.26	0.111	-0.709	-0.568	0.592	0.431	-0.423	-0.399	-42.22	-0.03953387	0.2649000000	1.0000000000
RVBD1099c:glpX	11	11	NE	447.83	312.34	-0.520	-0.560	-0.485	-0.175	-0.237	-0.400	-0.237	-36.12	-0.14750270	0.2481000000	1.0000000000
RVBD1100:RVBD1100	7	7	NE	754.14	646.03	-0.223	-0.268	-0.223	-0.041	-0.223	-0.223	-0.223	-122.22	-0.06951550	0.6154000000	1.0000000000
RVBD1101c:RVBD1101c	15	15	NE	1294.73	1421.66	0.135	-0.054	0.080	0.178	0.104	0.043	0.126	-63.08	-0.07317435	0.3763000000	1.0000000000
RVBD1102c:mazF3	6	6	NE	1501.07	1391.92	-0.109	-0.036	-0.109	-0.036	-0.109	-0.306	-0.109	6.11	0.00395881	0.9259000000	1.0000000000
RVBD1103c:mazE3	7	7	NE	1216.41	1017.17	-0.258	0.062	-0.258	0.069	-0.258	0.069	-0.258	-67.25	-0.05043374	0.5046000000	1.0000000000
RVBD1104:RVBD1104	6	6	NE	2678.67	2547.02	-0.073	-0.188	-0.073	-0.188	-0.073	-0.188	-0.073	57.25	0.02468368	0.8187000000	1.0000000000
RVBD1105:RVBD1105	6	5	NE	912.26	1082.60	0.247	0.247	0.247	0.247	0.247	0.247	0.247	-19.82	-0.02921507	0.7128500000	1.0000000000
RVBD1106c:RVBD1106c	9	9	NE	1648.16	1849.94	0.167	0.035	0.167	0.167	0.167	-0.028	0.167	-134.35	-0.08990959	0.9325000000	1.0000000000
RVBD1107c:xseB	4	4	NE	1630.56	1639.04	0.007	0.007	0.007	0.007	0.007	0.007	0.007	63.10	0.11715508	0.8343500000	1.0000000000
RVBD1108c:xseA	9	9	NE	2142.33	2330.97	0.122	-0.005	0.122	0.215	0.122	-0.005	0.122	-19.27	-0.01624407	0.9649500000	1.0000000000
RVBD1109c:RVBD1109c	6	6	NE	1958.08	1796.65	-0.124	-0.123	-0.124	-0.123	-0.124	-0.123	-0.124	4.12	0.00471195	0.8305500000	1.0000000000
RVBD1110:lytB2	105	103	ES	447.83	328.40	-0.447	-1.600	-1.504	0.330	0.300	-0.657	-0.441	-21.78	-0.03664303	0.0116000000	0.3320758389
RVBD1111c:RVBD1111c	109	108	ESD	414.72	302.07	-0.457	-1.468	-1.204	0.367	0.266	-0.976	-0.884	-60.85	-0.12218451	0.0001000000	0.0070483333
RVBD1112:RVBD1112	6	6	NE	2030.88	1937.38	-0.068	-0.208	-0.068	0.017	-0.068	-0.208	-0.068	-184.47	-0.08247257	0.3279500000	1.0000000000
RVBD1113:vapB32	3	3	NE	4212.03	4264.98	0.018	0.018	0.018	0.018	0.018	0.018	0.018	307.51	0.34070423	0.5491000000	1.0000000000
RVBD1114:vapC32	7	7	NE	2390.45	2288.04	-0.063	-0.040	-0.063	0.037	-0.063	0.064	-0.063	186.39	0.12133504	0.7195500000	1.0000000000
RVBD1115:RVBD1115	6	6	NE	1302.94	1522.78	0.225	0.203	0.225	0.203	0.225	0.203	0.225	89.51	0.07809926	0.3160000000	1.0000000000
RVBD1116:RVBD1116	2	2	NE	2499.38	2584.57	0.048	0.048	0.048	0.048	0.048	0.048	0.048	-114.61	-0.03001767	0.5436500000	1.0000000000
RVBD1116A:RVBD1116A	5	5	NE	2156.54	2539.96	0.236	0.236	0.236	0.236	0.236	0.236	0.236	-77.47	-0.03105188	0.7873500000	1.0000000000
RVBD1117:RVBD1117	5	5	NE	3058.81	3122.90	0.030	0.030	0.030	0.030	0.030	0.030	0.030	-63.08	-0.09301814	0.7751000000	1.0000000000
RVBD1118c:RVBD1118c	7	7	NE	1185.49	1195.62	0.012	-0.238	0.012	0.062	0.012	0.012	0.012	18.40	0.04047621	1.0000000000	1.0000000000
RVBD1119c:RVBD1119c	3	3	Uncertain	1512.94	1744.29	0.205	0.205	0.205	0.205	0.205	0.205	0.205	248.97	0.41633342	0.3697000000	1.0000000000
RVBD1120c:RVBD1120c	6	6	NE	1074.71	939.84	-0.193	-0.249	-0.193	-0.004	-0.193	-0.380	-0.193	-85.41	-0.09089455	0.6982500000	1.0000000000
RVBD1121:zwf1	14	14	NE	1308.08	1324.37	0.018	-0.219	-0.034	0.265	-0.034	-0.205	-0.000	-10.60	-0.01229638	0.9489500000	1.0000000000
RVBD1122:gnd2	76	76	ES	942.73	995.21	0.078	-0.665	-0.210	0.291	0.312	-0.183	0.038	-11.23	-0.01364787	0.8455000000	1.0000000000
RVBD1123c:bpoB	12	12	NE	2320.82	2360.86	0.025	0.065	0.021	0.194	0.118	-0.001	0.025	40.87	0.04315661	0.8816500000	1.0000000000
RVBD1124:ephC	9	9	NE	1434.27	1314.59	-0.126	-0.187	-0.126	0.108	-0.126	-0.055	-0.126	61.24	0.05162718	0.7728500000	1.0000000000
RVBD1125:RVBD1125	6	6	NE	1769.89	1873.05	0.082	0.042	0.082	0.117	0.082	0.042	0.082	36.24	0.02301342	0.8499000000	1.0000000000
RVBD1126c:RVBD1126c	6	6	NE	3439.24	3317.37	-0.052	-0.084	-0.052	0.048	-0.052	-0.065	-0.052	15.77	0.00554815	1.0000000000	1.0000000000
RVBD1127c:ppdK	8	8	NE	1494.91	1519.09	0.023	-0.097	0.023	0.034	0.023	-0.097	0.023	91.85	0.08661478	0.6872500000	1.0000000000
RVBD1128c:RVBD1128c	7	7	NE	1052.15	1124.24	0.096	-0.156	0.096	0.096	0.096	-0.058	0.096	28.66	0.01725910	0.8473000000	1.0000000000
RVBD1129c:RVBD1129c	16	16	NE	1090.41	1141.33	0.066	0.007	-0.037	0.190	0.129	0.060	-0.037	-36.57	-0.02917566	0.8453500000	1.0000000000
RVBD1130:prpD	12	12	NE	687.24	700.07	0.027	-0.168	-0.190	0.151	0.019	-0.158	-0.179	13.84	0.01459012	0.8186500000	1.0000000000
RVBD1131:prpC	7	7	NE	1420.16	1332.44	-0.092	-0.009	-0.092	0.087	-0.092	0.087	-0.092	-21.31	-0.01049651	1.0000000000	1.0000000000
RVBD1132:RVBD1132	25	25	NE	1071.16	1130.19	0.077	-0.258	-0.218	0.243	0.181	-0.067	-0.089	66.59	0.09226413	0.4476500000	1.0000000000
RVBD1133c:metE	206	206	ES	872.70	883.93	0.018	-0.921	-0.764	0.502	0.122	-0.295	-0.372	-56.64	-0.06180484	0.0467500000	0.9450111374
RVBD1134:RVBD1134	2	2	NE	203.74	254.65	0.322	0.322	0.322	0.322	0.322	0.322	0.322	7.54	0.16035229	0.6985500000	1.0000000000
RVBD1135A:RVBD1135A	4	4	NE	1775.88	1876.55	0.080	0.080	0.080	0.080	0.080	0.080	0.080	52.40	0.02724965	0.8806500000	1.0000000000
RVBD1135c:PPE16	17	17	NE	1228.52	1255.11	0.031	-0.056	-0.076	0.083	0.128	0.022	0.076	-16.39	-0.01737644	0.9014500000	1.0000000000
RVBD1137c:RVBD1137c	7	7	NE	1298.78	1457.35	0.166	0.073	0.166	0.166	0.166	0.073	0.166	-83.45	-0.04300411	0.8446500000	1.0000000000
RVBD1138c:RVBD1138c	6	6	NE	2620.42	2799.61	0.095	-0.033	0.095	0.120	0.095	-0.033	0.095	67.00	0.03402163	0.8272000000	1.0000000000
RVBD1139c:RVBD1139c	8	8	NE	1693.01	1885.63	0.155	0.117	0.155	-0.028	0.155	0.178	0.155	-25.39	-0.02160207	0.9890500000	1.0000000000
RVBD1140:RVBD1140	8	7	NE	1301.13	1297.45	-0.004	-0.171	-0.004	0.216	-0.004	-0.004	-0.004	96.63	0.07025256	0.5710000000	1.0000000000
RVBD1141c:echA11	7	7	NE	2000.90	2082.25	0.057	-0.249	0.057	0.094	0.057	-0.088	0.057	-52.96	-0.04780850	1.0000000000	1.0000000000
RVBD1142c:echA10	7	7	NE	1958.29	2016.50	0.042	-0.233	0.042	0.152	0.042	0.042	0.042	-27.63	-0.01464061	1.0000000000	1.0000000000
RVBD1143:mcr	7	7	GA	2463.07	2070.03	-0.251	-0.048	-0.251	0.187	-0.251	-0.251	-0.251	13.73	0.00728713	1.0000000000	1.0000000000
RVBD1144:RVBD1144	6	6	GA	3348.50	3256.41	-0.040	-0.053	-0.040	-0.053	-0.040	0.101	-0.040	102.38	0.03584620	0.9000500000	1.0000000000
RVBD1144Ac:RVBD1144Ac	5	5	N/A	2128.22	2159.26	0.021	0.021	0.021	0.021	0.021	0.021	0.021	150.90	0.05184818	0.7493500000	1.0000000000
RVBD1145:mmpL13a	7	7	GA	1577.96	1507.41	-0.066	-0.016	-0.066	0.157	-0.066	-0.066	-0.066	19.73	0.00843311	1.0000000000	1.0000000000
RVBD1146:mmpL13b	9	9	GA	1772.17	1814.25	0.034	0.034	0.034	0.082	0.034	-0.106	0.034	93.02	0.05615081	0.5823500000	1.0000000000
RVBD1147:RVBD1147	7	7	GA	1246.76	999.33	-0.319	-0.319	-0.319	-0.077	-0.319	0.071	-0.319	-102.15	-0.10313678	0.7663500000	1.0000000000
RVBD1148c:RVBD1148c	11	11	NE	2909.11	3047.13	0.067	-0.059	0.040	0.173	-0.142	-0.059	0.040	133.57	0.06289060	0.9063500000	1.0000000000
RVBD1151c:RVBD1151c	6	6	NE	2283.70	2123.58	-0.105	0.044	-0.105	0.014	-0.105	0.044	-0.105	124.54	0.07890554	0.3415500000	1.0000000000
RVBD1152:RVBD1152	5	5	NE	1966.83	1968.91	0.002	0.002	0.002	0.002	0.002	0.002	0.002	99.75	0.05621197	0.9099500000	1.0000000000
RVBD1153c:omt	7	7	NE	2180.82	2228.82	0.031	-0.068	0.031	0.031	0.031	0.031	0.031	36.78	0.01767240	0.8395000000	1.0000000000
RVBD1154c:RVBD1154c	8	8	NE	1830.89	1994.85	0.124	0.077	0.124	0.070	0.124	0.070	0.124	211.68	0.13404787	0.6893500000	1.0000000000
RVBD1155:RVBD1155	7	7	NE	1343.29	1344.33	0.001	-0.121	0.001	0.001	0.001	-0.121	0.001	50.94	0.01831068	0.6479500000	1.0000000000
RVBD1156:RVBD1156	7	7	NE	907.77	963.64	0.086	0.086	0.086	0.086	0.086	-0.153	0.086	-9.82	-0.01742123	1.0000000000	1.0000000000
RVBD1157c:RVBD1157c	6	6	NE	1190.87	1063.42	-0.163	-0.319	-0.163	-0.051	-0.163	0.025	-0.163	-254.37	-0.24536546	0.6559500000	1.0000000000
RVBD1158c:RVBD1158c	7	7	NE	845.37	676.73	-0.321	-0.657	-0.321	-0.169	-0.321	-0.321	-0.321	-119.91	-0.12583600	0.2172500000	1.0000000000
RVBD1159:pimE	14	13	NE	589.93	665.16	0.173	0.093	-0.116	0.126	0.237	-0.232	0.113	-28.62	-0.08114765	0.7266000000	1.0000000000
RVBD1159A:RVBD1159A	4	4	NE	1675.06	1709.18	0.029	0.029	0.029	0.029	0.029	0.029	0.029	44.40	0.03081130	0.7544500000	1.0000000000
RVBD1160:mutT2	6	6	NE	1161.94	1144.02	-0.022	0.009	-0.022	0.009	-0.022	0.009	-0.022	55.14	0.05360475	0.4991000000	1.0000000000
RVBD1161:narG	29	29	NE	1047.93	1071.34	0.032	-0.138	0.034	0.119	0.105	0.037	0.027	5.25	0.00616374	0.7600500000	1.0000000000
RVBD1162:narH	8	8	NE	1586.42	1590.61	0.004	-0.150	0.004	0.016	0.004	-0.007	0.004	25.62	0.01704515	0.9298500000	1.0000000000
RVBD1163:narJ	5	5	NE	991.28	1165.88	0.234	0.234	0.234	0.234	0.234	0.234	0.234	-3.30	-0.00099141	1.0000000000	1.0000000000
RVBD1164:narI	6	6	NE	2316.36	2390.37	0.045	-0.042	0.045	-0.042	0.045	-0.042	0.045	-270.76	-0.13575812	0.8188500000	1.0000000000
RVBD1165:typA	15	15	NE	1646.74	1623.91	-0.020	-0.248	-0.204	0.157	-0.184	-0.248	-0.167	0.64	0.00042128	0.9865000000	1.0000000000
RVBD1166:lpqW	163	161	ES	752.56	543.70	-0.469	-0.921	-1.145	0.164	0.081	-0.477	-0.632	-120.67	-0.17896474	0.0000500000	0.0041460784
RVBD1167c:RVBD1167c	6	6	NE	1661.57	1830.34	0.140	0.149	0.140	0.183	0.140	0.098	0.140	82.18	0.05975996	0.7831500000	1.0000000000
RVBD1168c:PPE17	6	6	NE	1518.26	1615.32	0.089	0.072	0.089	0.072	0.089	0.072	0.089	-6.71	-0.00279592	0.8125500000	1.0000000000
RVBD1169c:lipX	5	5	NE	2723.30	3077.11	0.176	0.176	0.176	0.176	0.176	0.176	0.176	167.74	0.13365664	0.7696000000	1.0000000000
RVBD1170:mshB	9	8	NE	746.38	796.77	0.094	0.135	0.094	0.275	0.094	0.004	0.094	32.33	0.03967126	0.8489000000	1.0000000000
RVBD1171:RVBD1171	7	7	NE	1380.56	1284.85	-0.104	-0.104	-0.104	-0.053	-0.104	-0.053	-0.104	-48.40	-0.04089906	0.7241500000	1.0000000000
RVBD1172c:PE12	9	9	NE	3056.14	2290.12	-0.416	-0.167	-0.416	0.073	-0.416	-0.114	-0.416	-92.46	-0.04307924	0.6465500000	1.0000000000
RVBD1173:fbiC	16	16	NE	1354.53	1231.82	-0.137	-0.109	-0.202	-0.024	0.056	-0.251	-0.137	-56.25	-0.04249752	0.5844500000	1.0000000000
RVBD1174c:TB8.4	6	6	NE	625.11	690.01	0.143	0.011	0.143	0.210	0.143	0.011	0.143	-18.34	-0.04883847	0.6702000000	1.0000000000
RVBD1175c:fadH	15	15	NE	1712.65	1694.72	-0.015	-0.224	-0.063	0.138	-0.035	-0.164	0.029	55.94	0.05078508	0.7197000000	1.0000000000
RVBD1176c:RVBD1176c	7	7	NE	1359.47	1623.91	0.256	-0.249	0.256	0.049	0.256	0.256	0.256	-58.66	-0.04609838	0.4822000000	1.0000000000
RVBD1177:fdxC	23	22	ES	519.92	462.63	-0.168	-0.691	-0.614	0.044	0.085	-0.590	-0.655	-35.08	-0.05446555	0.4853500000	1.0000000000
RVBD1178:RVBD1178	8	8	NE	1343.75	1210.49	-0.151	-0.234	-0.151	-0.183	-0.151	0.060	-0.151	-152.99	-0.15683517	0.7265000000	1.0000000000
RVBD1179c:RVBD1179c	24	23	NE	954.87	892.26	-0.098	-0.237	-0.126	0.290	-0.001	-0.578	-0.169	-32.60	-0.04390819	0.8604500000	1.0000000000
RVBD1181:pks4	40	40	NE	745.42	891.50	0.258	-0.009	-0.110	0.528	0.388	0.082	0.186	117.04	0.14580016	0.0811000000	1.0000000000
RVBD1182:papA3	12	12	NE	1301.13	1524.09	0.228	0.145	0.151	0.322	0.278	0.226	0.177	164.50	0.17159414	0.4563000000	1.0000000000
RVBD1183:mmpL10	30	30	NE	1205.97	1259.00	0.062	0.006	-0.155	0.354	0.220	0.128	0.036	83.47	0.11955117	0.3858500000	1.0000000000
RVBD1184c:RVBD1184c	14	14	NE	1410.89	1612.01	0.192	0.018	0.093	0.092	0.114	0.199	0.248	-13.90	-0.00941043	0.8912000000	1.0000000000
RVBD1185c:fadD21	21	21	NE	1416.11	1588.17	0.165	-0.156	0.113	0.451	0.332	0.151	0.135	91.86	0.10270269	0.4815000000	1.0000000000
RVBD1186c:RVBD1186c	10	10	NE	1537.07	1409.99	-0.125	-0.186	-0.125	0.084	-0.125	-0.175	-0.125	-30.15	-0.01850307	0.9889000000	1.0000000000
RVBD1187:rocA	10	10	NE	1066.19	1133.25	0.088	-0.135	0.088	0.150	0.088	0.143	0.088	112.26	0.21952168	0.6348000000	1.0000000000
RVBD1188:RVBD1188	11	11	NE	936.59	909.83	-0.042	-0.158	0.044	-0.008	-0.051	0.063	-0.051	-13.52	-0.01759025	0.9622500000	1.0000000000
RVBD1189:sigI	6	6	NE	1577.87	1593.55	0.014	-0.390	0.014	0.225	0.014	-0.390	0.014	34.99	0.02348080	0.9169000000	1.0000000000
RVBD1190:RVBD1190	8	8	NE	1693.02	1824.60	0.108	0.083	0.108	0.088	0.108	0.214	0.108	105.01	0.11874570	0.6314500000	1.0000000000
RVBD1191:RVBD1191	8	8	NE	1439.88	1567.40	0.122	0.014	0.122	0.062	0.122	0.054	0.122	45.74	0.08207077	0.7570000000	1.0000000000
RVBD1192:RVBD1192	7	7	NE	1970.49	2010.55	0.029	-0.087	0.029	0.087	0.029	-0.087	0.029	-199.97	-0.15748211	0.4274000000	1.0000000000
RVBD1193:fadD36	6	6	NE	1323.41	1545.32	0.224	0.137	0.224	0.264	0.224	0.137	0.224	62.36	0.06628651	0.8292500000	1.0000000000
RVBD1194c:RVBD1194c	11	11	NE	1526.52	1546.58	0.019	0.008	-0.140	0.096	-0.140	0.096	-0.021	95.03	0.05412363	0.8917000000	1.0000000000
RVBD1195:PE13	4	4	GA	1223.93	1090.05	-0.167	-0.167	-0.167	-0.167	-0.167	-0.167	-0.167	-9.49	-0.01128590	0.9721500000	1.0000000000
RVBD1196:PPE18	11	11	GA	1630.56	1550.12	-0.073	-0.073	0.092	0.194	0.019	-0.073	0.019	20.49	0.01526966	0.8788500000	1.0000000000
RVBD1197:esxK	4	4	GA	1587.34	1854.97	0.225	0.225	0.225	0.225	0.225	0.225	0.225	284.51	0.43092997	0.1612000000	1.0000000000
RVBD1198:esxL	2	2	GA	3220.30	3395.74	0.077	0.077	0.077	0.077	0.077	0.077	0.077	60.56	0.01895542	1.0000000000	1.0000000000
RVBD1199c:RVBD1199c	2	2	NE	2944.78	2990.68	0.022	0.022	0.022	0.022	0.022	0.022	0.022	-2.02	-0.00211134	1.0000000000	1.0000000000
RVBD1200:RVBD1200	18	18	NE	943.42	938.43	-0.008	-0.250	-0.157	0.135	0.122	0.074	0.141	9.07	0.01757094	0.7466000000	1.0000000000
RVBD1201c:dapD	74	73	ES	1119.58	1118.29	-0.002	-0.325	-0.374	0.390	0.245	-0.325	-0.219	-31.84	-0.04017638	0.4913500000	1.0000000000
RVBD1202:dapE	105	105	ES	958.91	916.05	-0.066	-0.572	-0.419	0.554	0.300	-0.255	-0.208	2.19	0.00307682	0.9523000000	1.0000000000
RVBD1203c:RVBD1203c	5	5	NE	1198.25	1243.61	0.054	0.054	0.054	0.054	0.054	0.054	0.054	113.18	0.11669274	0.9588000000	1.0000000000
RVBD1204c:RVBD1204c	7	7	NE	1541.54	1521.20	-0.019	0.063	-0.019	-0.019	-0.019	0.066	-0.019	33.04	0.03335734	1.0000000000	1.0000000000
RVBD1205:RVBD1205	9	8	NE	1358.62	1309.77	-0.053	-0.050	-0.053	-0.050	-0.053	-0.153	-0.053	84.96	0.07117041	0.7370000000	1.0000000000
RVBD1206:fadD6	16	16	NE	932.57	862.25	-0.113	-0.217	-0.193	0.017	0.034	0.003	-0.071	-43.19	-0.07671977	0.4750500000	1.0000000000
RVBD1207:folP2	8	8	NE	1246.80	1208.29	-0.045	0.141	-0.045	0.194	-0.045	0.087	-0.045	137.38	0.12663909	0.7336500000	1.0000000000
RVBD1208:gpgS	83	83	ES	967.00	957.69	-0.014	-0.465	-0.296	0.344	0.287	0.019	-0.105	-24.66	-0.02864146	0.7400500000	1.0000000000
RVBD1209:RVBD1209	5	5	NE	1840.95	1600.11	-0.202	-0.202	-0.202	-0.202	-0.202	-0.202	-0.202	5.49	0.00646260	1.0000000000	1.0000000000
